ID,smf-name,smf-filepath,reduction,JDUTC,RA,Dec,filter,exp-time,UVx,UVy,UVz,obseqx,obseqy,obseqz,obseclx,obseclsy,obseclz
6798, o5090g0082o.97397.cm, ./smf_downloads/3PI.2009-09-16/o5090g0082o.97397.cm.1172348.smf, PS1_V5, 2455090.8405636493, 321.295014, -14.579701, i.00000, 60.0,0.7552466497352932,-0.605174577,-0.2517264981825477,0.9988542392393938,-0.104956443,-0.0454779491886156,0.9988542392393938,-0.114385743,0.0000240727880215
6807, o5090g0091o.97406.cm, ./smf_downloads/3PI.2009-09-16/o5090g0091o.97406.cm.1172349.smf, PS1_V5, 2455090.8498365786, 319.784463, -19.462211, i.00000, 60.0,0.7199887724504119,-0.608772432,-0.3331850745781417,0.9988712195204484,-0.10480965,-0.0454151161386056,0.9988712195204484,-0.114226069,0.0000233300454323
6808, o5090g0092o.97408.cm, ./smf_downloads/3PI.2009-09-16/o5090g0092o.97408.cm.1172467.smf, PS1_V5, 2455090.851203152, 321.294923, -14.579715, i.00000, 60.0,0.7552456405664193,-0.605175738,-0.2517267346603037,0.9988737104980503,-0.10478801,-0.0454058561762042,0.9988737104980503,-0.114202532,0.0000232179023658
6820, o5090g0106o.97421.cm, ./smf_downloads/3PI.2009-09-16/o5090g0106o.97421.cm.1172351.smf, PS1_V5, 2455090.8699759394, 322.067811, -17.456329, i.00000, 60.0,0.7524141727316007,-0.586417633,-0.2999787865558996,0.9989076214075426,-0.104490568,-0.0452786481109654,0.9989076214075426,-0.113879034,0.0000216137187807
6827, o5090g0113o.97428.cm, ./smf_downloads/3PI.2009-09-16/o5090g0113o.97428.cm.1157875.smf, PS1_V5, 2455090.878960992, 318.31547, -13.721584, i.00000, 60.0,0.7255034637884080,-0.646048704,-0.2372041233335576,0.9989236426103371,-0.104348107,-0.0452177617799507,0.9989236426103371,-0.113724109,0.0000208080745810
6832, o5090g0118o.97433.cm, ./smf_downloads/3PI.2009-09-16/o5090g0118o.97433.cm.1172353.smf, PS1_V5, 2455090.8859156272, 322.067806, -17.456371, i.00000, 60.0,0.7524139481163479,-0.586417563,-0.2999794858346662,0.9989359474428964,-0.104237801,-0.0451706335469382,0.9989359474428964,-0.113604159,0.0000201699315581
6839, o5090g0125o.97440.cm, ./smf_downloads/3PI.2009-09-16/o5090g0125o.97440.cm.1157885.smf, PS1_V5, 2455090.895100088, 318.315475, -13.721581, i.00000, 60.0,0.7255035294422507,-0.646048649,-0.2372040724680395,0.9989520667717408,-0.104092081,-0.0451083937428699,0.9989520667717408,-0.113445706,0.0000193099871015
7014, o5091g0084o.97806.cm, ./smf_downloads/3PI.2009-09-17/o5091g0084o.97806.cm.1172354.smf, PS1_V5, 2455091.802647259, 322.06838, -17.455895, i.00000, 60.0,0.7524217885735706,-0.586411558,-0.2999715606658734,1.0003310915901544,-0.089912856,-0.0389528108931937,1.0003310915901544,-0.097987971,0.0000267749588723
7021, o5091g0091o.97813.cm, ./smf_downloads/3PI.2009-09-17/o5091g0091o.97813.cm.1157899.smf, PS1_V5, 2455091.80922084, 318.315797, -13.721465, i.00000, 60.0,0.7255075188498959,-0.646044891,-0.2372021056675057,1.0003415564889273,-0.08980887,-0.0389081891259099,1.0003415564889273,-0.097874816,0.0000263512070758
7026, o5091g0096o.97818.cm, ./smf_downloads/3PI.2009-09-17/o5091g0096o.97818.cm.1172461.smf, PS1_V5, 2455091.814054406, 322.067947, -17.456346, i.00000, 60.0,0.7524154944761386,-0.586415792,-0.2999790695973246,1.0003492145550195,-0.089732375,-0.0388753783172150,1.0003492145550195,-0.097791582,0.0000260265504834
