,ID,smf-name,smf-filepath,reduction,JDUTC,RA,Dec,filter,exp-time,UVx,UVy,UVz,obseqx,obseqy,obseqz,obseclx,obseclsy,obseclz
2224,2224, o4998g0352o.78371.cm, ./smf_downloads/3PI.2009-06-16/o4998g0352o.78371.cm.1163507.smf, PS1_V5, 2454999.0851179645, 327.021254, -17.251427, y.00000, 30.0,0.8011338158051299,-0.519839972,-0.2965653604655763,-0.0810005875748917,-0.929137584,-0.4027825566520808,-0.0810005875748917,-1.012684766,0.0000439349212941
2232,2232, o4998g0360o.78376.cm, ./smf_downloads/3PI.2009-06-16/o4998g0360o.78376.cm.1163824.smf, PS1_V5, 2454999.090590185, 329.686448, -13.076365, y.00000, 30.0,0.8408909051634298,-0.491643817,-0.2262495147321613,-0.0809073867314712,-0.929143766,-0.4027856977905340,-0.0809073867314712,-1.012691687,0.0000435119494192
2236,2236, o4998g0364o.78382.cm, ./smf_downloads/3PI.2009-06-16/o4998g0364o.78382.cm.1163783.smf, PS1_V5, 2454999.0933403005, 324.663351, -12.915504, y.00000, 30.0,0.7951294838301769,-0.563746975,-0.2235138741654983,-0.0808605613999957,-0.929146858,-0.4027872750989694,-0.0808605613999957,-1.012695152,0.0000432948988012
2237,2237, o4998g0365o.78383.cm, ./smf_downloads/3PI.2009-06-16/o4998g0365o.78383.cm.1163893.smf, PS1_V5, 2454999.093999136, 327.183793, -8.740687, y.00000, 30.0,0.8306529669696470,-0.535651917,-0.1519627334171696,-0.0808493449973053,-0.929147597,-0.4027876528399433,-0.0808493449973053,-1.012695981,0.0000432424658984
3304,3304, o5010g0274o.82822.cm, ./smf_downloads/3PI.2009-06-28/o5010g0274o.82822.cm.1163651.smf, PS1_V5, 2455011.118434585, 327.119674, -14.42285, y.00000, 30.0,0.8133389118351978,-0.525776462,-0.2490761458336081,0.1223391437289446,-0.925964703,-0.4014085789841971,0.1223391437289446,-1.009227168,0.0000424354167420
3306,3306, o5010g0276o.82824.cm, ./smf_downloads/3PI.2009-06-28/o5010g0276o.82824.cm.1163785.smf, PS1_V5, 2455011.1196204657, 324.64745, -10.071185, y.00000, 30.0,0.8030397649017561,-0.569690325,-0.1748715809199803,0.1223591529326857,-0.925962228,-0.4014076293568955,0.1223591529326857,-1.00922452,0.0000423220828999
3315,3315, o5010g0285o.82833.cm, ./smf_downloads/3PI.2009-06-28/o5010g0285o.82833.cm.1163833.smf, PS1_V5, 2455011.1255558054, 329.749897, -10.247781, y.00000, 30.0,0.8500543545376010,-0.495739095,-0.1779054345698229,0.1224592661627538,-0.925949825,-0.4014028740478293,0.1224592661627538,-1.009211248,0.0000417512202574
3316,3316, o5010g0286o.82834.cm, ./smf_downloads/3PI.2009-06-28/o5010g0286o.82834.cm.1163531.smf, PS1_V5, 2455011.1261021867, 324.379035, -18.55092, y.00000, 30.0,0.7706511026959385,-0.552158633,-0.3181473267548344,0.1224684793733834,-0.925948682,-0.4014024360923049,0.1224684793733834,-1.009210025,0.0000416983826577
3317,3317, o5010g0287o.82835.cm, ./smf_downloads/3PI.2009-06-28/o5010g0287o.82835.cm.1163090.smf, PS1_V5, 2455011.126860893, 329.554616, -18.740239, y.00000, 30.0,0.8164075650464154,-0.479853149,-0.3212781401185040,0.1224812720757176,-0.925947094,-0.4014018278898114,0.1224812720757176,-1.009208327,0.0000416249367623
6644,6644, o5089g0095o.96962.cm, ./smf_downloads/3PI.2009-09-15/o5089g0095o.96962.cm.1173060.smf, PS1_V5, 2455089.8666232512, 322.874181, -20.30796, i.00000, 60.0,0.7477516899354808,-0.566050032,-0.3470659474541450,0.9970806400318880,-0.120157071,-0.0520706172040737,0.9970806400318880,-0.130954459,0.0000218806186666
6645,6645, o5089g0096o.96963.cm, ./smf_downloads/3PI.2009-09-15/o5089g0096o.96963.cm.1168583.smf, PS1_V5, 2455089.8675368517, 320.547231, -11.665803, i.00000, 60.0,0.7561989059018056,-0.622316028,-0.2022028098979843,0.9970825505582298,-0.120142623,-0.0520644397853021,0.9970825505582298,-0.130938747,0.0000218014477789
6648,6648, o5089g0099o.96966.cm, ./smf_downloads/3PI.2009-09-15/o5089g0099o.96966.cm.1157864.smf, PS1_V5, 2455089.8711458426, 319.03517, -16.600544, i.00000, 60.0,0.7236389696367636,-0.628270323,-0.2856974662731124,0.9970900840461991,-0.120085545,-0.0520400370217847,0.9970900840461991,-0.130876672,0.0000214861926711
6650,6650, o5089g0101o.96968.cm, ./smf_downloads/3PI.2009-09-15/o5089g0101o.96968.cm.1173063.smf, PS1_V5, 2455089.8729779506, 324.305608, -15.402036, i.00000, 60.0,0.7829733932733876,-0.56250726,-0.2655903763563611,0.9970939000390964,-0.120056566,-0.0520276488483811,0.9970939000390964,-0.130845156,0.0000213246588277
6651,6651, o5089g0102o.96969.cm, ./smf_downloads/3PI.2009-09-15/o5089g0102o.96969.cm.1172344.smf, PS1_V5, 2455089.8738970784, 317.495203, -21.433694, i.00000, 60.0,0.6862353801174272,-0.628924576,-0.3654242483602356,0.9970958122968793,-0.120042026,-0.0520214339557745,0.9970958122968793,-0.130829344,0.0000212432512358
6654,6654, o5089g0105o.96973.cm, ./smf_downloads/3PI.2009-09-15/o5089g0105o.96973.cm.1173064.smf, PS1_V5, 2455089.8766426314, 322.874345, -20.307915, i.00000, 60.0,0.7477535274955552,-0.566048056,-0.3470652108756538,0.9971015158954717,-0.119998591,-0.0520028691873334,0.9971015158954717,-0.130782108,0.0000209986380155
6655,6655, o5089g0106o.96972.cm, ./smf_downloads/3PI.2009-09-15/o5089g0106o.96972.cm.1168584.smf, PS1_V5, 2455089.8775559277, 320.547387, -11.665756, i.00000, 60.0,0.7562007283620648,-0.622314074,-0.2022020065376536,0.9971034103182369,-0.119984141,-0.0519966936685018,0.9971034103182369,-0.130766394,0.0000209167998479
6658,6658, o5089g0109o.96976.cm, ./smf_downloads/3PI.2009-09-15/o5089g0109o.96976.cm.1157865.smf, PS1_V5, 2455089.8803499728, 319.035177, -16.600564, i.00000, 60.0,0.7236389710891640,-0.62827017,-0.2856978007898325,0.9971091970222130,-0.119939932,-0.0519778008324226,0.9971091970222130,-0.130718318,0.0000206650196317
6660,6660, o5089g0111o.96978.cm, ./smf_downloads/3PI.2009-09-15/o5089g0111o.96978.cm.1173066.smf, PS1_V5, 2455089.88218261, 324.30561, -15.401989, i.00000, 60.0,0.7829735898453939,-0.56250736,-0.2655895855119751,0.9971129852523224,-0.119910931,-0.0519654087910117,0.9971129852523224,-0.130686781,0.0000204987464228
6661,6661, o5089g0112o.96979.cm, ./smf_downloads/3PI.2009-09-15/o5089g0112o.96979.cm.1172345.smf, PS1_V5, 2455089.8831001557, 317.495176, -21.433654, i.00000, 60.0,0.6862352718189046,-0.628925071,-0.3654235985104793,0.9971148797157777,-0.119896411,-0.0519592044534028,0.9971148797157777,-0.130670991,0.0000204151710877
